Y,X,City_Name,Date,Name,Confirmed,Deaths,Recovered,Active,Tested
29.7996500002999,39.8678499997969,Domat Al Jandal,2020-05-04,دومة الجندل,1,0,0,1,0
18.5463703749133,42.0490977136489,Muhayil Aseer,2020-03-31,محايل عسير,1,0,0,1,0
19.5389200000531,41.0499099999128,Almuzaylif,2020-04-18,المظيلف,3,0,0,3,0
26.3112826643086,50.1173385302361,Dhahran,2020-04-07,الظهران,39,0,7,32,0
26.3416692946825,43.9682662615606,Buraydah,2020-04-21,بريدة,55,1,13,41,0
28.3945663283474,36.577960548361,Tabuk,2020-04-13,تبوك,113,0,6,107,0
20.0132180261774,41.4700390749447,Al Bahah,2020-04-07,الباحة,14,0,4,10,0
24.1024108677268,38.0636989758493,Yanbu,2020-04-16,ينبع,29,0,0,29,0
18.8232600002592,43.2298999996035,Al Madda,2020-05-02,المضة,1,0,0,1,0
16.9687000002216,42.8309700001619,Abu Arish,2020-05-01,أبو عريش,10,0,0,10,0
24.7356429287764,46.7464850379502,Riyadh,2020-04-19,الرياض,2210,4,521,1685,0
24.4575016842581,39.6210700109177,Medina,2020-04-25,المدينة المنورة,3047,32,84,2931,0
28.4075034088392,45.9925409747685,Hafar Al Batin,2020-04-29,حفر الباطن,21,0,1,20,0
24.5149700000182,44.4206499999441,Al Duwadimi,2020-04-28,الدوادمي,1,0,0,1,0
26.3112826643086,50.1173385302361,Dhahran,2020-04-14,الظهران,50,0,9,41,0
26.2855327481369,50.2100794799695,Khobar,2020-05-02,الخبر,441,2,54,385,0
26.848609999734,40.3278199999749,Al Shamly,2020-04-18,الشملي,1,0,0,1,0
22.7246200004093,42.1741799997856,Dhalm,2020-04-30,ظلم,1,0,0,1,0
25.4107004700223,49.5854563146594,Al Mubarraz,2020-04-12,المبرز,2,0,0,2,0
18.8232600002592,43.2298999996035,Al Madda,2020-04-21,المضة,1,0,0,1,0
19.1046800001888,41.9304499997052,Al Majarda,2020-05-03,المجاردة,28,0,0,28,0
21.3587500003344,40.2765299998203,Al Hada,2020-04-22,الهدا,6,0,0,6,0
20.5992632409071,41.0456816738879,Bani Malek,2020-04-29,بني مالك,1,0,0,1,0
26.2855327481369,50.2100794799695,Khobar,2020-04-23,الخبر,115,1,32,82,0
26.4085806676508,50.1169950665738,Dammam,2020-05-04,الدمام,2045,4,306,1735,0
26.4085806676508,50.1169950665738,Dammam,2020-05-01,الدمام,1493,3,152,1338,0
26.1356269929518,43.6689215577488,Al Bukayriyah,2020-04-26,البكيرية,12,0,1,11,0
29.9716781048945,40.2113726688954,Sakakah,2020-05-01,سكاكا,8,0,4,4,0
20.4776799999905,41.0592200002785,Alqarei,2020-05-05,القريع,5,0,1,4,0
30.492509999702,38.2132300003032,Tabarjal,2020-04-30,طبرجل,1,0,0,1,0
26.6576400003706,49.9539900000693,Safwa,2020-05-02,صفوى,109,0,0,109,0
28.4251523841036,48.4965519796126,Khafji,2020-04-18,الخفجي,15,0,0,15,0
30.983301000027,41.0333043643064,Arar,2020-04-08,عرعر,2,0,2,0,0
20.0132180261774,41.4700390749447,Al Bahah,2020-04-17,الباحة,18,0,14,4,0
24.0771600002464,45.2849299999188,Al Quwaiiyah,2020-04-20,القويعية,2,0,0,2,0
25.3773876968636,49.7232077379792,Al Jafr,2020-04-22,الجفر,3,0,0,3,0
26.2428965134594,36.4667598411732,Al Wajh,2020-04-07,الوجه,1,0,0,1,0
18.1699700001096,42.8362900002426,Ahad Rafidah,2020-04-22,أحد رفيدة,4,0,2,2,0
21.2093795529404,41.6162456429412,Turbah,2020-05-02,تربة,2,0,0,2,0
25.3569924204555,49.5839219652047,Hofuf,2020-04-28,الهفوف,1026,5,120,901,0
26.4085806676508,50.1169950665738,Dammam,2020-04-03,الدمام,137,1,28,108,0
